Mucosal Defence,Antigen presenting,Hypoxia Stress,Cell Cycling,Oxidative Stress,Mesenchymal,Terminal Differentiation,Quiescent Progenitor,Reactive Oxygen Stress
SLPI,IFI6,FOS,CKS1B,AKR1C1,IGFBP7,KRT16,EEF1A1,FABP4
LCN2,B2M,EGR1,UBE2C,AKR1C3,VIM,CSTB,KRT15,FABP5
WFDC2,CD74,JUN,HMGB2,GPX2,LGALS1,S100A2,SNHG29,S100A9
KRT7,HLA-B,NR4A1,PTTG1,GSTM3,MYL9,S100A9,RACK1,S100A8
MMP7,HLA-DRA,ATF3,CDC20,ALDH3A1,TAGLN,SPRR1B,COL14A1,S100A7
RARRES1,HLA-DRB1,ZFP36,CCNB1,AKR1C2,MT2A,FABP5,C12orf57,KRT16
C15orf48,CST3,DUSP1,BIRC5,FTL,CALD1,S100A8,BTF3,LCN2
CXCL17,SAA1,FOSB,CDKN3,KRT15,CAV1,KRT6B,IL1R2,KRT14
S100P,C1S,BTG2,CKS2,PGD,SPARC,KRT6A,GAS5,KRT6B
CEACAM6,COL17A1,KRT15,TPX2,DAPL1,BCAM,CSTA,CH25H,SAA1
LGALS3,CTSB,HSPA1B,CCNB2,GSTM1,CXCL14,S100A7,MOXD1,LGALS7B
PRSS22,CXCL14,NFKBIA,CENPF,AKR1B10,TNC,KRT17,CXCL14,KRTDAP
AGR2,CXCL2,DUSP2,RRM2,GSTA1,COL1A1,LY6D,CCL2,S100A2
CD74,GPNMB,NCOA7,TOP2A,KRT19,COL1A2,SBSN,SERPINE2,TMEM45A
CLU,HLA-DPA1,NEAT1,CENPW,CXCL14,FLNA,SPRR2A,THSD4,MT1E
DEFB1,HLA-DPB1,HSPA1A,TYMS,KRT5,LAMB3,SPRR2D,NOP53,PDZK1IP1
LTF,HLA-DRB5,MYC,TK1,CES1,LAMC2,LGALS7B,GEM,LY6D
PSCA,IGFBP2,HES1,CDK1,GSTM2,MYLK,SPRR1A,RPS4X,SOD2
SAT1,IGFBP6,CLDN4,ARL6IP1,ADM,TMSB4X,KRT6C,RPS18,KRT6A
SCGB3A1,UBD,CXCL14,HIST1H4C,ALDH1A1,TPM2,PI3,MIR205HG,CTAG2
CXCL2,BCAM,CYR61,NUSAP1,BNIP3,AMTN,KRT14,RPS12,KRT17
FAM3D,CXCL10,ELF3,PLK1,DDIT4,CCL2,KRTDAP,SOCS3,CCL20
ELF3,CXCL3,ID1,UBE2T,IGFBP2,COL3A1,LGALS7,RPS8,NDUFA4L2
HLA-DRA,DST,KLF6,KIAA0101,IGFBP5,CYR61,SPRR2E,RPL35A,DEFB1
PIGR,HLA-DQA1,MALAT1,KPNA2,KRT13,DCN,S100A10,RPS19,LGALS7
ANXA1,IL32,TNFAIP3,MCM7,NDUFA4L2,EMP3,RHCG,RPL13,CXCL1
